,x,y
0,0.1700680272108843,
1,0.3401360544217687,
2,0.510204081632653,
3,0.6802721088435374,
4,0.8503401360544217,
5,1.020408163265306,
6,1.1904761904761905,
7,1.3605442176870748,
8,1.530612244897959,
9,1.7006802721088434,
10,1.870748299319728,
11,2.040816326530612,
12,2.2108843537414966,
13,2.380952380952381,
14,2.5510204081632653,
15,2.7210884353741496,
16,2.891156462585033,
17,3.061224489795918,
18,3.2312925170068025,
19,3.401360544217687,
20,3.5714285714285707,
21,3.741496598639456,
22,3.91156462585034,
23,4.081632653061224,
24,4.2517006802721085,
25,4.421768707482993,
26,4.591836734693877,
27,4.761904761904762,
28,4.931972789115646,
29,5.1020408163265305,
30,5.272108843537414,
31,5.442176870748299,
32,5.612244897959183,
33,5.782312925170067,
34,5.952380952380952,
35,6.122448979591836,
36,6.29251700680272,
37,6.462585034013605,
38,6.63265306122449,
39,6.802721088435374,
40,6.972789115646258,
41,7.1428571428571415,
42,7.312925170068027,
43,7.482993197278911,
44,7.653061224489795,
45,7.82312925170068,
46,7.993197278911564,
47,8.163265306122447,
48,8.333333333333332,
